no,name,start,ends
12723,Andhra Pradesh Express,Hyderabad Decan,New Delhi
12724,Andhra Pradesh Express,New Delhi,Hyderabad Decan
12707,Andhra Pradesh Sampark Kranti,Tirupati,H Nizamuddin
15609,Abadh Assam Express,New Tinsukia Junction,Darbhanga Junction
15909,Abadh Assam Express,New Tinsukia Junction,Darbhanga Junction
18242,Abkp Durg Passenger E,Ambikapur,Durg
11266,Abkp Jbp Express,Ambikapur,Jabalpur
7509,Adb Qln Special,Adilabad,Kollam Junction
9416,Adi Madgaon Special,Ahmedabad Junction,Madgaon
9427,Adi Ald Special,Ahmedabad Junction,Allahabad Junction
